row_id,source_id,arena,classification,negative_category,visible_structures,court_end,confidence,note
wnba_01_e29,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player and official shot; no court structures."
wnba_01_e30,wnba_01,Gateway Center Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: timeout personnel shot; no court structures."
wnba_04_e01,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the zoomed midcourt view."
wnba_04_e02,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the zoomed midcourt view."
wnba_04_e03,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: obscured tight spectator and player shot; no court structures."
wnba_04_e04,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e05,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight official and players shot; no court structures."
wnba_04_e06,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the zoomed midcourt view."
wnba_04_e07,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the main midcourt view."
wnba_04_e08,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e09,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,LOW,"gpt-5.6-sol MODEL: three structures remain identifiable despite heavy motion blur."
wnba_04_e10,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline;arc fragment",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline view lacks three well-spread structures."
wnba_04_e11,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the main midcourt view."
wnba_04_e12,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e13,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e14,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e15,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e16,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,LOW,"gpt-5.6-sol MODEL: three structures remain identifiable despite a corrupted lower band."
wnba_04_e17,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e18,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,LOW,"gpt-5.6-sol MODEL: three structures remain identifiable despite motion blur."
wnba_04_e19,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e20,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e21,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e22,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e23,wnba_04,Climate Pledge Arena,UNRESOLVABLE,,"sideline;center-circle fragments",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: in-scope transition view has fewer than three reliable structures."
wnba_04_e24,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e25,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e26,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e27,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e28,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline;arc fragment",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action view lacks three well-spread structures."
wnba_04_e29,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player portrait; no usable court structures."
wnba_04_e30,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e31,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action view lacks three well-spread structures."
wnba_04_e32,wnba_04,Climate Pledge Arena,UNRESOLVABLE,,"sideline;arc fragments",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: in-scope-looking half-court crop has fewer than three reliable structures."
wnba_04_e33,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e34,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e35,wnba_04,Climate Pledge Arena,NEGATIVE,graphics/transition,"baseline;sideline;lane boundary;three-point arc",RIGHT_BASKET,HIGH,"gpt-5.6-sol MODEL: promotional split layout shrinks the court into a small inset."
wnba_04_e36,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_e37,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;lane boundary;three-point arc",RIGHT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the right court end."
wnba_04_e38,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,LOW,"gpt-5.6-sol MODEL: three structures remain identifiable despite heavy motion blur."
wnba_04_e39,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region;lane boundary;three-point arc",RIGHT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: identifiable view spans midcourt and the right half court."
wnba_04_e40,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player portrait; no court structures."
wnba_04_e41,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e42,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;lane boundary;free-throw semicircle;three-point arc",LEFT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: identifiable well-spread left half-court view."
wnba_04_e43,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e44,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the midcourt view."
wnba_04_e45,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;center-circle region;three-point arc",LEFT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: three well-spread structures identify the left court end."
