row_id,source_id,arena,classification,negative_category,visible_structures,court_end,confidence,note
wnba_04_20,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;lane boundary;three-point arc",LEFT_BASKET,MEDIUM,"gpt-5.6-sol MODEL: three structures identify the partial left half court."
wnba_04_21,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player shot; no court structures."
wnba_04_22,wnba_04,Climate Pledge Arena,ELIGIBLE,,"sideline;midcourt line;center-circle region",NOT_IDENTIFIABLE,MEDIUM,"gpt-5.6-sol MODEL: identifiable midcourt view."
wnba_04_23,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: tight player portrait; no court structures."
wnba_04_24,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_25,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_26,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;arc fragment",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_27,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_28,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"sideline;arc fragments",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_29,wnba_04,Climate Pledge Arena,NEGATIVE,replay/alternate-camera,"baseline;sideline",BASKET_END_CENTERED,HIGH,"gpt-5.6-sol MODEL: tight baseline action camera lacks three well-spread structures."
wnba_04_30,wnba_04,Climate Pledge Arena,NEGATIVE,close-up,"",NOT_IDENTIFIABLE,HIGH,"gpt-5.6-sol MODEL: official and player close shot; no court structures."
