adjudication_id,card_id,draw_kind,section_id,frame,subject_kind,subject_id,position_source,target_weight,bbox_x1,bbox_y1,bbox_x2,bbox_y2,verdict,certainty,verdict_source,note,overlay_opened_utc,adjudicated_utc
1080p30_02#1080p30_02_r01,1080p30_02,1080p30,UCVSlzgun0o_s2298,474,PRODUCER_ROW,1080p30_02_r01,SUBPIXEL,0,1713.0,-15.0,1935.0,504.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,upper body of the same right-hand player; the box is a partial-body slab,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_r00,1080p30_03,1080p30,UCVSlzgun0o_s2298,735,PRODUCER_ROW,1080p30_03_r00,SUBPIXEL,0,149.0,259.0,257.0,477.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the left baseline; box shifted up about 70 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_r01,1080p30_03,1080p30,UCVSlzgun0o_s2298,735,PRODUCER_ROW,1080p30_03_r01,PREDICTION,0,1197.0,729.0,1311.0,863.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the bottom centre; box shifted up about 75 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_r02,1080p30_03,1080p30,UCVSlzgun0o_s2298,735,PRODUCER_ROW,1080p30_03_r02,PREDICTION,0,759.43353,308.41528,876.71564,554.8299,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,player cluster at mid court; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_d00,1080p30_03,1080p30,,,COMPARATOR_BOX,1080p30_03_d00,,,1214.250,805.500,1301.250,909.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,official at the bottom centre,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_d03,1080p30_03,1080p30,,,COMPARATOR_BOX,1080p30_03_d03,,,1134.000,436.500,1263.000,693.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,two overlapping players at the free-throw extension,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_d05,1080p30_03,1080p30,,,COMPARATOR_BOX,1080p30_03_d05,,,1824.000,386.250,1920.000,524.250,PERSON,CERTAIN,OVERLAY_ADJUDICATION,photographer at the right border,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_d06,1080p30_03,1080p30,,,COMPARATOR_BOX,1080p30_03_d06,,,652.500,343.312,783.750,573.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,player cluster; wider duplicate of d01,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_d07,1080p30_03,1080p30,,,COMPARATOR_BOX,1080p30_03_d07,,,479.250,308.250,549.750,484.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,seated person on the bench row,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_03#1080p30_03_d08,1080p30_03,1080p30,,,COMPARATOR_BOX,1080p30_03_d08,,,1296.750,310.875,1364.250,500.625,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person standing in dark behind the baseline,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_04#1080p30_04_r00,1080p30_04,1080p30,UCVSlzgun0o_s90,820,PRODUCER_ROW,1080p30_04_r00,CLAMP,0,580.0,196.0,671.0,390.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,dark jersey player near the baseline; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_04#1080p30_04_r01,1080p30_04,1080p30,UCVSlzgun0o_s90,820,PRODUCER_ROW,1080p30_04_r01,CLAMP,0,588.0,197.0,681.0,385.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,"same player as r00, near-duplicate box",2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_04#1080p30_04_r02,1080p30_04,1080p30,UCVSlzgun0o_s90,820,PRODUCER_ROW,1080p30_04_r02,CLAMP,0,601.0,252.0,707.0,381.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,"same player as r00, third near-duplicate box",2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_04#1080p30_04_d08,1080p30_04,1080p30,,,COMPARATOR_BOX,1080p30_04_d08,,,1746.000,907.500,1860.000,1072.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person in the bottom-right foreground,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_04#1080p30_04_d11,1080p30_04,1080p30,,,COMPARATOR_BOX,1080p30_04_d11,,,1647.000,422.250,1713.000,615.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,photographer at the right,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_04#1080p30_04_d12,1080p30_04,1080p30,,,COMPARATOR_BOX,1080p30_04_d12,,,1147.500,510.000,1240.500,882.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,tall box over the two stacked players at the right,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_05#1080p30_05_r00,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,PRODUCER_ROW,1080p30_05_r00,CLAMP,0,1527.0,727.0,1665.0,909.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the bottom right; box shifted up about 75 px,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_05#1080p30_05_r01,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,PRODUCER_ROW,1080p30_05_r01,SUBPIXEL,0,1152.0,307.0,1272.0,538.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white player at mid right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_05#1080p30_05_r02,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,PRODUCER_ROW,1080p30_05_r02,PREDICTION,0,1383.0,276.0,1491.0,519.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,blue player at the right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_05#1080p30_05_r03,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,PRODUCER_ROW,1080p30_05_r03,CLAMP,0,750.0,142.0,837.0,331.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,bench person in white; the top of the box is crowd,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_05#1080p30_05_d07,1080p30_05,1080p30,,,COMPARATOR_BOX,1080p30_05_d07,,,0.094,976.500,81.281,1080.000,UNKNOWN,UNCERTAIN,OVERLAY_ADJUDICATION,bottom-left corner behind the graphic; cannot resolve a person at native pixels,2026-09-11T19:37:29Z,2026-09-11T19:40:49Z
1080p30_06#1080p30_06_r00,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PRODUCER_ROW,1080p30_06_r00,CLAMP,0,906.0,551.0,1081.0,838.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white player with the ball sits in the left part of the box; the rest is bare floor,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_r01,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PRODUCER_ROW,1080p30_06_r01,PREDICTION,0,1366.0,439.0,1476.0,711.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white player at the right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_r02,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PRODUCER_ROW,1080p30_06_r02,DETECTION,1,528.0,609.0,654.0,874.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the bottom centre; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_r03,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PRODUCER_ROW,1080p30_06_r03,DETECTION,1,1494.0,186.0,1605.0,384.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_r04,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PRODUCER_ROW,1080p30_06_r04,PREDICTION,0,939.0,210.0,1077.0,413.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,green player near the baseline; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_r05,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PRODUCER_ROW,1080p30_06_r05,PREDICTION,0,500.0832,342.5832,621.5085,584.31335,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white and green pair at mid left; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_d02,1080p30_06,1080p30,,,COMPARATOR_BOX,1080p30_06_d02,,,479.250,456.000,660.750,675.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,two overlapping players at mid left,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_d07,1080p30_06,1080p30,,,COMPARATOR_BOX,1080p30_06_d07,,,1501.500,247.500,1588.500,426.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,official at the right,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_d08,1080p30_06,1080p30,,,COMPARATOR_BOX,1080p30_06_d08,,,630.000,325.500,768.000,497.250,PERSON,CERTAIN,OVERLAY_ADJUDICATION,two players near the free-throw line,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_d09,1080p30_06,1080p30,,,COMPARATOR_BOX,1080p30_06_d09,,,1504.500,273.375,1567.500,424.125,PERSON,CERTAIN,OVERLAY_ADJUDICATION,"official at the right, narrower duplicate of d07",2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_06#1080p30_06_d10,1080p30_06,1080p30,,,COMPARATOR_BOX,1080p30_06_d10,,,853.500,154.688,907.500,327.562,PERSON,CERTAIN,OVERLAY_ADJUDICATION,player standing in front of the bench,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_r00,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PRODUCER_ROW,1080p30_07_r00,CLAMP,0,714.0,335.0,859.0,566.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white and green pair at mid left; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_r01,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PRODUCER_ROW,1080p30_07_r01,DETECTION,1,1407.0,255.0,1561.0,464.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white player at the right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_r02,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PRODUCER_ROW,1080p30_07_r02,DETECTION,1,1309.0,664.0,1423.0,903.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the bottom right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_r03,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PRODUCER_ROW,1080p30_07_r03,PREDICTION,0,1187.5714,168.22739,1274.5714,347.14407,PERSON,CERTAIN,OVERLAY_ADJUDICATION,official standing in front of the bench; extent is close,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_r04,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PRODUCER_ROW,1080p30_07_r04,CLAMP,0,1674.5056,325.33295,1775.7146,539.32263,NO_PERSON,CERTAIN,OVERLAY_ADJUDICATION,empty floor and signage at the right; no person inside the box,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_r05,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PRODUCER_ROW,1080p30_07_r05,SUBPIXEL,0,193.0,552.0,313.0,806.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white player at the left; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_07#1080p30_07_d09,1080p30_07,1080p30,,,COMPARATOR_BOX,1080p30_07_d09,,,1084.500,471.375,1230.000,717.375,PERSON,CERTAIN,OVERLAY_ADJUDICATION,green 66 at the free-throw line,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_08#1080p30_08_r00,1080p30_08,1080p30,X5w3V6rh26s_s90,1145,PRODUCER_ROW,1080p30_08_r00,CLAMP,0,468.0,598.0,599.0,907.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the bottom left; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_08#1080p30_08_d09,1080p30_08,1080p30,,,COMPARATOR_BOX,1080p30_08_d09,,,1825.500,853.500,1918.500,973.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,"person at the scorers table, bottom right",2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_08#1080p30_08_d10,1080p30_08,1080p30,,,COMPARATOR_BOX,1080p30_08_d10,,,674.250,162.000,744.750,363.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person in orange standing behind the baseline,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_08#1080p30_08_d11,1080p30_08,1080p30,,,COMPARATOR_BOX,1080p30_08_d11,,,937.500,336.750,1072.500,537.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,two overlapping players at mid court,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_08#1080p30_08_d13,1080p30_08,1080p30,,,COMPARATOR_BOX,1080p30_08_d13,,,1683.000,848.250,1755.000,947.250,PERSON,CERTAIN,OVERLAY_ADJUDICATION,"person at the scorers table, bottom right",2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_08#1080p30_08_d14,1080p30_08,1080p30,,,COMPARATOR_BOX,1080p30_08_d14,,,528.000,208.125,603.000,349.875,PERSON,CERTAIN,OVERLAY_ADJUDICATION,seated person on the bench row,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_09#SILENCE,1080p30_09,1080p30,,,PRODUCER_SILENCE,SILENCE,,,,,,,PERSONS_PRESENT,CERTAIN,OVERLAY_ADJUDICATION,"producer emitted nothing on this evaluated tick, yet four on-court players plus several sideline persons are plainly visible",2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_09#1080p30_09_d04,1080p30_09,1080p30,,,COMPARATOR_BOX,1080p30_09_d04,,,1273.500,33.047,1326.000,174.375,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person standing behind the table,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_09#1080p30_09_d05,1080p30_09,1080p30,,,COMPARATOR_BOX,1080p30_09_d05,,,1077.750,372.000,1136.250,535.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,"white jersey player, narrower duplicate of d03",2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_09#1080p30_09_d06,1080p30_09,1080p30,,,COMPARATOR_BOX,1080p30_09_d06,,,1230.000,26.297,1279.500,154.125,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person standing behind the table,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_09#1080p30_09_d07,1080p30_09,1080p30,,,COMPARATOR_BOX,1080p30_09_d07,,,1014.750,56.062,1071.750,156.562,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person in white behind the table,2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_09#1080p30_09_d08,1080p30_09,1080p30,,,COMPARATOR_BOX,1080p30_09_d08,,,714.750,92.156,770.250,249.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,"person standing at the sideline, taller duplicate of d02",2026-09-11T19:37:29Z,2026-09-11T19:42:15Z
1080p30_10#1080p30_10_r00,1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,PRODUCER_ROW,1080p30_10_r00,DETECTION,1,1198.0,341.0,1873.0,1027.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,bending player at the right; box shifted up and wider than the body,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_10#1080p30_10_r01,1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,PRODUCER_ROW,1080p30_10_r01,PREDICTION,0,729.0,249.0,885.0,609.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,head and upper body of the player between the two foreground players,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_10#1080p30_10_d03,1080p30_10,1080p30,,,COMPARATOR_BOX,1080p30_10_d03,,,0.000,606.000,70.312,775.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,spectator at the left border,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_10#1080p30_10_d04,1080p30_10,1080p30,,,COMPARATOR_BOX,1080p30_10_d04,,,86.016,600.750,186.188,778.500,PERSON,CERTAIN,OVERLAY_ADJUDICATION,spectator at the left,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_r00,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,PRODUCER_ROW,1080p30_11_r00,CLAMP,0,1042.0,330.0,1285.0,750.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,red player is in the lower part of the box; the upper half is stands,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_r01,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,PRODUCER_ROW,1080p30_11_r01,CLAMP,0,888.0,379.0,972.0,586.0,NO_PERSON,UNCERTAIN,OVERLAY_ADJUDICATION,dark background between two players; no body resolvable inside the box,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_r02,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,PRODUCER_ROW,1080p30_11_r02,CLAMP,0,678.0,299.0,923.0,765.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white USA 5 is here; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_r03,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,PRODUCER_ROW,1080p30_11_r03,CLAMP,0,314.7,552.48096,737.7,780.1476,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,prone red player is in the lower part; the top border is on the advertising board,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_r04,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,PRODUCER_ROW,1080p30_11_r04,CLAMP,0,1359.4058,563.9529,1471.9751,818.72974,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,overlaps the right side of the white player; the rest is bare floor,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_d02,1080p30_11,1080p30,,,COMPARATOR_BOX,1080p30_11_d02,,,963.000,459.000,1179.000,849.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,red and white players overlapping at mid court,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_d05,1080p30_11,1080p30,,,COMPARATOR_BOX,1080p30_11_d05,,,579.000,514.500,661.500,657.000,PERSON,CERTAIN,OVERLAY_ADJUDICATION,person in white standing at the sideline,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_d07,1080p30_11,1080p30,,,COMPARATOR_BOX,1080p30_11_d07,,,334.500,503.625,391.875,574.125,PERSON,CERTAIN,OVERLAY_ADJUDICATION,spectator in the stands,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_11#1080p30_11_d10,1080p30_11,1080p30,,,COMPARATOR_BOX,1080p30_11_d10,,,408.000,521.250,468.000,576.750,PERSON,CERTAIN,OVERLAY_ADJUDICATION,spectator in the stands,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_12#1080p30_12_r00,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PRODUCER_ROW,1080p30_12_r00,DETECTION,1,1284.0,489.0,1410.0,742.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white 47 and the red player below are inside; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_12#1080p30_12_r01,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PRODUCER_ROW,1080p30_12_r01,CLAMP,0,882.0,352.0,984.0,523.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,person in dark at the bench sits in the right part of the box,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_12#1080p30_12_r02,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PRODUCER_ROW,1080p30_12_r02,PREDICTION,0,862.0,449.0,1018.0,716.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white player and dark player inside; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_12#1080p30_12_r03,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PRODUCER_ROW,1080p30_12_r03,DETECTION,1,1677.0,574.0,1863.0,879.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,official at the right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_12#1080p30_12_r04,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PRODUCER_ROW,1080p30_12_r04,PREDICTION,0,1417.3569,299.39536,1538.9221,520.3954,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,red player at the right; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
1080p30_12#1080p30_12_r05,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PRODUCER_ROW,1080p30_12_r05,PREDICTION,0,1316.0,379.0,1421.0,523.0,PERSON_OFFSET,CERTAIN,OVERLAY_ADJUDICATION,white 47; box shifted up,2026-09-11T19:37:29Z,2026-09-11T19:43:39Z
